Acedamic percentage in Operating Systems,percentage in Algorithms,Percentage in Programming Concepts,Percentage in Software Engineering,Percentage in Computer Networks,Percentage in Electronics Subjects,Percentage in Computer Architecture,Percentage in Mathematics,Percentage in Communication skills,Hours working per day,Logical quotient rating,hackathons,coding skills rating,public speaking points,Suggested Job Role
73,90,75,66,86,61,81,94,71,6,6,0,3,4,22
65,73,66,77,61,92,72,63,90,6,4,1,7,3,26
77,70,87,80,70,86,93,66,67,12,8,5,7,6,11
64,67,79,71,71,64,67,93,67,10,7,3,1,1,17
67,86,84,70,76,61,66,70,81,11,1,5,2,8,15
83,68,92,77,60,85,74,61,62,4,6,0,6,3,31
81,60,86,85,78,62,81,63,69,11,3,3,2,2,27
88,76,66,84,61,65,61,70,78,11,7,6,3,5,12
72,76,78,91,72,62,64,62,62,12,7,0,4,3,4
85,89,78,83,66,85,79,75,81,5,3,1,7,6,30
90,80,80,62,81,68,60,64,69,5,9,3,1,9,24
69,82,79,79,93,74,94,89,62,7,7,0,3,9,2
66,93,73,82,70,74,90,63,91,6,2,2,6,6,29
87,69,65,79,72,66,64,60,66,11,7,4,3,5,31
83,74,60,88,86,63,89,62,84,12,3,5,5,9,12
60,82,79,84,80,81,73,90,82,5,9,2,6,6,16
71,93,70,64,69,60,73,94,80,7,1,6,6,8,13
89,92,74,87,67,63,92,70,70,7,4,0,3,1,33
91,75,79,69,60,73,70,76,73,7,7,2,8,6,2
61,65,75,88,72,60,68,76,62,9,6,0,2,1,27
83,68,60,88,81,62,67,63,76,7,5,2,5,4,33
93,87,78,88,73,68,94,76,81,7,7,0,8,8,26
66,88,71,65,78,84,65,69,65,9,3,6,1,2,32
65,79,64,84,79,74,76,74,64,8,7,6,3,6,15
83,84,82,60,88,93,92,85,84,6,2,3,9,1,0
91,83,62,89,87,94,84,75,63,7,8,5,1,4,20
84,67,93,64,76,62,81,74,94,12,3,1,8,1,32
90,74,80,69,70,70,93,92,67,4,1,4,7,6,6
79,80,66,73,87,87,60,80,87,12,1,1,1,4,12
82,79,76,70,66,65,89,73,64,10,2,0,1,4,7
77,92,64,67,82,81,94,73,80,10,2,4,7,7,8
94,85,68,74,60,72,67,78,88,12,7,1,9,3,25
86,89,67,74,73,74,81,76,91,9,5,1,9,4,32
63,87,86,92,70,84,63,60,93,6,3,0,1,8,26
74,76,75,91,76,72,93,84,83,12,1,5,9,4,20
65,68,73,70,79,80,92,79,89,10,2,1,6,1,15
92,81,75,77,74,63,94,92,62,10,8,1,6,9,10
74,73,78,88,72,66,69,67,92,5,6,4,8,4,2
85,88,64,78,82,71,65,76,66,5,8,1,7,9,10
63,64,77,84,63,90,83,90,89,6,9,2,1,6,28
61,69,65,64,91,82,86,66,68,6,2,0,4,3,14
60,84,74,93,76,86,85,91,75,11,9,1,6,7,2
92,89,79,85,71,72,86,65,88,4,4,0,8,6,21
76,63,62,86,87,89,92,80,63,11,2,1,7,5,29
87,94,90,84,74,85,85,73,64,6,9,1,2,5,5
67,87,75,76,83,74,83,94,60,5,3,0,5,1,24
69,88,82,76,65,85,81,84,76,4,2,5,8,3,4
72,63,80,65,89,92,74,68,67,7,3,5,4,9,7
88,68,84,83,87,73,60,71,90,12,7,5,3,2,11
60,93,83,82,85,93,84,83,65,4,2,5,5,1,25
66,77,78,79,85,80,92,68,73,7,8,6,2,8,9
64,63,84,93,92,77,82,84,84,11,6,0,6,1,7
74,71,63,73,72,77,61,64,73,7,1,0,4,5,27
90,89,81,86,79,82,88,69,89,6,4,6,9,4,1
62,71,78,87,74,93,77,62,82,6,9,3,1,6,23
60,80,88,88,76,83,70,77,67,4,5,2,8,9,16
92,75,74,64,91,89,60,84,74,10,8,3,1,1,32
77,82,77,68,70,61,89,87,89,8,4,4,1,8,11
76,65,84,75,85,90,73,86,94,11,8,4,6,4,25
71,75,76,77,71,82,65,78,93,8,3,6,6,5,15
69,63,74,77,63,73,77,65,65,12,9,6,3,2,16
64,80,69,60,92,67,84,78,76,12,7,4,3,7,19
72,68,85,84,64,80,63,92,64,9,3,1,2,9,13
91,78,84,65,69,90,75,82,85,7,7,3,9,7,33
62,88,76,82,90,87,78,68,89,11,8,1,4,2,33
61,90,65,71,66,90,60,91,60,12,1,6,2,5,18
87,90,90,80,67,89,63,61,64,7,3,0,2,9,26
60,94,91,76,79,92,94,92,90,12,4,1,9,8,18
60,72,88,83,93,77,70,74,83,7,7,4,6,1,13
75,75,90,68,62,82,63,91,84,8,8,4,6,6,6
66,89,91,69,79,73,83,69,77,5,3,4,5,2,22
64,91,60,68,91,84,79,91,83,11,1,1,8,3,18
80,63,78,78,71,64,64,83,93,9,2,6,3,5,0
66,67,94,93,62,62,87,67,69,7,1,0,4,7,9
85,81,85,88,64,76,88,82,65,8,2,6,6,3,17
84,92,64,76,86,63,68,64,81,5,7,0,4,3,26
74,80,83,79,89,79,71,75,60,5,8,1,8,3,27
61,74,93,84,79,66,80,93,94,4,9,5,8,4,32
64,81,78,92,72,82,70,92,83,4,5,5,6,4,4
79,70,91,84,66,67,69,78,91,9,8,3,9,8,31
85,92,61,93,74,91,68,70,91,11,1,0,7,1,13
94,69,81,79,90,78,88,74,86,8,2,1,7,5,28
88,67,68,72,73,68,87,79,73,12,4,2,2,1,5
90,87,73,76,64,83,69,92,61,12,7,0,4,3,1
76,81,77,82,79,85,92,84,73,8,9,6,8,5,32
73,69,78,75,90,65,86,75,93,11,4,0,3,5,18
92,68,75,66,79,88,92,72,69,12,8,5,4,3,6
88,62,78,61,69,62,86,65,75,7,4,2,2,9,17
69,72,80,78,92,91,76,74,77,7,2,0,3,4,0
84,65,76,72,91,91,61,92,67,6,8,5,5,2,24
89,80,70,60,60,72,88,63,87,11,9,0,9,9,8
89,65,86,78,70,70,65,89,70,9,7,1,7,6,18
67,63,70,78,80,64,94,73,81,10,8,4,1,4,22
91,87,73,64,65,66,74,80,91,4,6,6,6,2,3
94,67,72,81,90,93,93,84,88,8,9,6,5,9,7
80,66,67,62,89,91,87,90,62,10,8,2,5,5,24
72,72,67,80,68,72,87,65,84,5,2,6,6,9,24
65,82,71,92,69,71,68,74,88,7,1,6,2,3,32
79,68,69,70,91,91,77,80,90,8,4,4,4,8,16
91,65,84,76,81,77,75,94,70,7,1,3,4,5,2
81,66,79,77,90,64,87,85,94,12,7,5,1,4,4
86,65,85,61,79,75,69,90,89,9,3,0,7,9,20
91,80,79,78,82,71,89,62,63,9,7,3,8,7,31
60,81,64,73,74,86,86,85,60,11,7,4,1,1,28
80,90,86,64,71,70,89,84,81,10,1,3,5,7,32
89,63,83,87,69,71,74,82,61,4,6,6,8,4,19
92,72,79,83,79,88,76,78,67,9,5,1,8,5,17
64,61,68,85,69,83,76,86,77,8,9,3,6,7,8
91,69,88,78,77,86,71,72,69,8,4,5,8,3,33
67,93,75,85,94,92,87,67,74,6,6,0,2,2,19
66,77,87,65,87,71,66,68,83,10,7,3,5,7,0
80,78,60,91,80,75,80,63,69,7,7,0,3,1,2
94,90,69,64,67,86,94,72,84,4,7,2,9,7,1
76,85,85,91,79,74,84,73,85,5,9,6,6,8,22
77,73,82,70,78,73,76,87,74,9,7,5,5,6,15
89,78,75,62,86,76,93,82,70,10,8,1,9,4,13
93,89,80,80,86,94,66,65,77,8,8,6,3,6,29
93,60,82,77,79,74,73,64,84,4,4,1,9,6,33
71,62,69,86,74,85,62,74,90,5,7,4,6,4,26
92,87,88,61,67,87,82,62,87,12,4,5,3,6,1
87,69,94,83,67,81,76,60,70,7,1,2,5,2,21
77,63,80,81,82,81,80,81,71,8,8,4,1,6,15
70,60,80,69,65,84,88,87,69,5,3,4,8,2,14
91,67,92,74,93,88,80,71,69,7,1,2,9,9,16
65,78,66,81,84,72,90,70,84,11,6,0,6,8,23
60,74,89,82,61,76,69,60,67,6,4,3,1,9,18
61,60,90,93,77,82,68,91,83,9,4,5,2,8,19
87,71,81,94,79,77,75,76,69,5,1,6,9,6,23
90,64,60,88,60,62,88,74,67,6,8,1,8,1,12
61,68,67,69,91,69,66,65,71,10,9,4,9,6,12
76,60,90,64,71,69,63,70,69,7,2,5,1,1,11
92,74,60,65,92,92,94,63,77,7,1,0,4,3,4
77,71,74,61,76,67,88,86,84,4,5,3,7,6,7
72,71,92,81,77,93,88,70,84,11,7,1,2,3,7
64,65,88,83,87,64,67,86,79,4,3,0,8,2,23
69,73,89,94,74,70,73,76,74,9,4,0,2,2,32
64,93,85,70,80,89,67,86,94,7,7,2,6,1,29
73,65,79,70,66,73,71,73,66,12,8,2,9,3,3
74,91,88,82,82,77,66,78,73,4,3,5,9,2,7
60,92,79,85,69,72,66,62,64,7,4,5,9,8,4
90,61,91,76,75,85,90,81,87,6,7,3,8,8,15
63,87,62,83,76,94,89,61,79,12,4,1,7,4,26
63,91,72,72,92,85,62,81,69,5,7,6,7,8,17
67,91,71,78,75,81,65,87,68,10,5,5,3,7,32
69,72,83,85,62,90,62,67,75,9,9,1,8,8,20
94,66,77,61,69,71,61,61,73,8,6,6,6,3,30
88,90,92,89,73,84,67,85,76,6,8,2,5,9,16
71,74,82,85,83,62,62,77,64,9,8,2,8,3,12
80,79,78,80,66,94,73,83,62,9,1,2,1,3,24
62,92,82,70,79,60,88,88,74,8,3,2,1,6,6
86,67,76,75,81,61,86,67,67,12,9,1,9,1,0
72,65,71,81,76,76,71,75,76,8,1,4,2,7,8
67,84,73,69,94,67,92,82,79,5,6,2,3,4,18
61,64,72,67,85,94,92,94,79,12,7,5,6,3,20
71,71,83,77,73,61,86,80,73,6,6,1,9,4,28
83,88,74,63,79,73,73,63,86,6,2,6,3,8,5
81,89,65,94,85,74,84,67,68,4,6,0,3,7,13
83,65,84,80,82,91,69,75,89,4,2,0,2,7,28
64,86,65,67,69,74,66,89,89,5,8,0,2,2,28
66,72,72,70,61,86,78,77,72,6,3,3,3,9,16
83,81,61,81,79,63,61,88,83,8,1,6,6,4,6
71,89,91,88,84,78,89,77,62,7,8,5,9,4,15
93,81,63,85,66,82,67,89,72,9,4,5,6,1,27
75,66,85,74,74,93,72,92,93,5,4,5,5,1,3
69,92,80,85,86,73,88,73,68,9,8,1,2,6,16
71,75,79,83,75,74,61,84,69,4,6,6,8,6,4
62,75,67,63,89,80,65,92,88,9,5,3,9,6,28
73,74,92,71,67,85,93,60,91,11,2,2,4,9,24
73,68,82,88,61,91,71,76,70,8,3,3,2,6,2
85,67,68,60,80,68,87,94,60,9,7,3,4,2,13
81,82,83,86,70,72,93,93,83,6,9,4,3,4,13
88,74,83,80,71,85,89,83,82,7,8,4,4,3,32
82,66,89,70,72,70,91,61,76,12,7,1,5,8,3
81,80,70,90,88,75,91,93,73,12,5,2,9,3,4
64,61,63,84,63,82,66,68,63,11,8,1,1,2,12
67,90,66,63,87,90,91,88,75,8,9,6,7,5,7
86,86,62,62,60,79,90,69,85,12,7,2,8,4,10
68,86,73,88,94,80,63,61,61,7,7,4,4,5,28
63,78,92,84,89,66,75,73,69,7,1,0,2,2,11
66,67,77,90,70,85,92,79,65,10,8,4,1,2,7
62,78,75,82,69,71,74,75,62,9,3,4,4,5,11
64,84,90,86,83,94,83,76,89,9,4,4,2,1,16
71,80,84,92,66,92,73,67,64,9,8,5,1,2,31
60,61,79,90,66,74,91,68,69,11,7,3,7,4,5
83,61,93,81,76,79,86,76,78,5,9,3,5,3,3
73,88,69,71,81,71,88,66,62,4,7,1,3,7,19
90,75,88,84,75,80,86,76,90,7,3,4,6,3,13
72,67,85,81,79,92,78,65,77,5,1,4,4,8,27
65,68,80,65,85,93,87,65,71,9,9,6,4,2,31
65,88,61,72,74,84,81,63,89,5,9,6,8,4,28
90,60,87,65,75,90,67,60,71,9,6,2,7,7,33
67,81,80,76,82,85,77,65,81,12,9,0,1,6,28
77,93,61,65,74,81,89,71,85,12,4,6,9,5,7
88,94,73,87,64,89,79,93,65,7,5,4,9,2,25
72,84,78,92,93,80,85,74,71,6,1,6,2,8,14
83,79,88,75,62,70,68,91,63,8,5,0,1,4,29
89,89,74,66,69,83,71,89,67,11,2,2,7,2,27
72,63,74,68,69,67,94,76,79,4,7,3,2,3,25
69,60,77,94,70,92,67,67,80,6,4,4,2,1,22
60,91,61,88,85,75,66,94,93,6,8,1,7,5,29
68,67,89,94,83,70,64,88,89,10,7,5,8,1,7
78,88,77,67,86,90,67,75,70,8,8,1,8,5,18
78,62,71,84,83,82,69,86,69,11,4,2,3,9,20
78,78,67,71,78,81,71,84,93,9,7,1,6,5,15
65,76,70,91,70,60,67,91,76,7,2,0,5,6,1
91,84,61,86,79,86,87,66,62,5,6,5,5,7,2
78,83,83,63,80,69,63,64,70,7,7,3,5,6,27
70,78,71,69,68,86,93,81,87,7,2,6,1,6,10
78,76,88,88,64,84,61,61,77,8,4,1,8,5,9
94,93,88,66,91,77,63,75,79,5,1,6,8,7,30
88,86,62,77,93,65,75,62,92,6,1,5,3,8,5
80,87,93,73,64,71,84,83,69,8,3,3,5,2,20
61,78,87,91,62,93,76,90,85,10,9,5,8,6,14
69,60,61,67,76,93,91,62,69,7,1,5,9,9,3
64,87,64,77,60,75,74,92,61,8,9,0,6,1,0
94,76,61,90,71,69,67,67,80,11,1,1,1,4,0
75,79,74,93,74,76,75,63,60,10,4,0,7,9,1
94,82,91,79,66,65,68,76,90,8,4,5,3,9,31
67,89,86,88,81,71,93,61,85,12,6,0,8,9,12
65,77,76,74,86,90,64,93,78,4,8,4,3,8,24
94,80,64,63,89,65,86,64,67,12,8,5,5,6,7
69,85,84,90,93,86,65,65,63,9,6,0,6,5,14
76,71,71,75,90,74,76,94,74,7,8,5,4,1,25
66,63,75,70,91,94,86,85,62,10,9,5,5,3,22
62,67,65,61,64,92,72,77,79,7,8,3,9,5,33
79,88,74,91,72,79,93,67,85,4,6,5,4,2,0
92,79,80,60,83,90,63,83,94,9,6,0,8,9,0
77,91,60,86,84,62,90,84,93,9,5,2,3,2,15
90,75,67,65,76,73,77,70,63,9,9,5,5,8,8
77,75,72,64,71,93,76,84,69,11,5,0,8,2,8
72,88,68,73,65,69,80,89,82,10,5,3,4,4,27
94,94,94,68,77,90,73,78,77,8,2,5,8,2,21
89,92,93,90,60,82,81,64,82,4,8,4,6,5,5
68,83,83,62,61,72,70,79,80,12,8,6,1,2,16
89,82,60,83,89,65,60,68,71,11,5,6,3,3,12
90,63,73,90,91,78,60,87,77,7,6,5,7,7,1
91,87,64,84,63,71,66,66,83,10,4,0,9,5,5
67,75,82,81,92,62,80,67,91,6,6,5,3,7,24
64,85,65,77,80,72,78,72,61,7,7,2,3,4,1
61,88,66,86,60,64,84,79,67,11,6,1,7,6,21
78,85,65,86,80,74,65,79,87,11,5,6,3,6,25
94,94,81,74,92,63,94,85,60,6,7,4,1,3,4
76,92,73,70,60,84,76,83,62,12,8,4,6,5,30
83,62,63,87,81,71,73,92,73,9,6,2,9,5,11
65,67,91,62,88,62,67,64,69,6,4,3,4,8,5
88,76,80,94,89,74,74,86,86,12,2,0,5,5,4
63,86,69,67,86,60,71,91,91,10,3,3,5,8,31
70,78,61,85,90,88,85,67,66,5,7,0,9,8,20
65,81,92,61,64,87,76,71,65,8,8,1,7,6,16
66,91,62,64,62,89,60,94,83,5,4,0,6,7,16
92,75,91,82,75,69,88,83,85,4,2,5,5,2,23
84,79,79,77,72,91,65,83,82,6,5,5,5,8,31
77,81,85,60,73,86,78,81,77,5,9,6,6,6,33
66,85,79,63,88,88,64,80,83,10,8,1,7,9,4
84,79,92,63,91,83,81,93,80,5,7,3,7,3,19
64,61,76,66,80,90,91,91,90,7,4,4,1,5,1
79,94,61,71,88,75,62,77,80,10,8,3,7,8,29
86,74,85,90,67,78,89,71,89,8,6,2,2,2,15
65,82,60,83,84,68,63,84,70,11,9,6,3,7,0
81,64,85,93,69,64,66,71,65,8,6,2,7,1,27
72,87,67,74,65,91,69,64,69,4,8,6,9,2,23
60,75,68,93,65,76,89,61,85,12,2,1,9,8,2
70,66,80,89,73,76,83,91,73,4,2,0,7,3,5
68,65,64,83,87,75,66,84,73,11,8,2,1,4,20
61,84,81,75,86,62,77,92,65,4,4,1,4,9,1
79,64,90,80,81,64,67,68,89,5,6,0,8,5,18
68,81,75,67,82,81,65,71,90,11,4,5,1,9,2
78,75,91,63,64,64,88,73,65,8,5,3,5,5,30
74,71,85,68,68,82,66,67,69,6,3,5,2,2,10
82,83,66,82,66,66,77,66,66,5,2,3,7,5,10
71,75,64,82,69,89,70,62,76,6,5,4,2,7,3
82,65,64,73,80,64,64,61,73,10,4,4,1,5,1
65,74,75,73,90,61,66,66,69,9,8,6,2,6,21
74,85,90,87,94,82,78,86,62,4,2,5,3,8,28
60,85,68,90,76,86,91,68,94,12,7,4,9,6,25
81,68,76,88,73,94,72,62,89,6,4,3,2,4,28
64,73,82,90,90,81,70,71,79,9,1,4,6,5,5
73,91,94,80,73,82,77,80,72,10,7,1,6,7,30
76,85,87,71,90,92,62,60,63,7,2,2,3,6,14
92,61,87,92,67,64,75,78,91,10,3,4,7,4,3
72,93,75,60,75,76,94,91,91,7,2,6,8,7,4
69,91,92,73,63,79,67,66,64,9,4,2,8,6,5
87,66,74,74,79,76,68,87,93,7,3,2,8,6,13
64,84,67,70,75,80,86,60,69,8,5,0,4,1,3
85,94,77,84,68,72,72,81,90,9,5,5,6,6,28
83,86,67,66,85,92,81,62,78,5,1,3,7,7,21
73,85,70,63,81,68,70,86,67,4,4,4,6,5,0
90,65,70,61,90,85,92,89,86,5,1,0,5,6,16
85,87,82,78,78,87,64,74,71,8,9,5,9,6,2
60,82,73,61,68,63,93,63,65,6,6,2,7,1,21
73,61,68,60,77,65,90,69,66,4,7,4,9,1,33
92,64,88,89,70,71,67,79,79,10,5,5,1,8,18
74,82,74,71,80,73,94,87,74,12,6,3,4,9,12
72,60,94,75,82,94,75,83,66,11,6,4,3,6,20
67,86,67,79,87,94,61,89,81,12,7,6,3,7,7
75,87,61,81,79,61,83,92,83,6,1,1,6,5,1
89,73,63,63,71,81,85,64,64,8,4,0,7,9,2
63,77,91,60,84,62,86,72,94,11,6,5,9,4,23
89,83,81,75,71,86,93,60,87,6,5,0,7,5,17
68,73,86,67,74,79,84,62,80,6,9,0,2,1,3
75,72,87,87,75,91,78,91,81,8,8,3,4,5,3
81,67,70,94,63,79,68,80,76,12,8,0,9,6,0
68,68,74,69,73,67,66,72,62,4,8,3,5,9,25
70,73,87,87,86,80,61,84,76,12,7,1,3,3,2
79,79,94,60,89,75,78,69,84,9,3,2,3,7,5
93,74,67,69,81,63,94,94,81,10,9,1,7,3,32
79,64,65,87,66,80,90,67,83,6,2,5,8,9,21
88,92,62,94,84,70,67,94,79,10,6,0,5,8,8
75,92,93,83,92,79,86,86,88,7,3,3,7,6,5
86,84,64,87,73,79,85,60,92,6,1,5,4,1,19
76,61,66,68,68,94,93,71,68,7,7,3,4,8,12
82,86,76,61,64,79,71,80,83,11,6,0,8,7,20
76,63,86,90,72,60,76,77,66,11,9,5,6,1,12
75,81,86,83,73,90,69,86,64,9,9,0,8,2,26
85,60,91,68,65,61,71,89,63,7,9,2,4,4,20
84,60,93,65,94,66,62,88,83,12,1,0,3,4,0
61,88,94,85,72,72,68,82,93,6,7,1,2,4,30
93,63,79,65,79,81,80,62,84,11,8,1,2,2,26
60,73,65,65,76,64,64,77,72,6,3,6,8,5,17
66,63,83,92,63,88,66,93,71,12,1,0,2,4,0
71,92,84,67,94,86,80,85,87,7,7,6,4,9,5
79,65,73,63,67,74,64,72,60,11,9,2,8,7,23
94,94,88,89,61,66,80,73,62,9,2,3,5,1,0
78,72,93,89,84,86,61,68,87,7,8,4,4,8,24
61,93,66,90,78,94,71,62,77,10,7,5,6,8,9
63,66,68,90,69,80,70,88,90,5,5,0,8,2,22
64,83,60,69,75,62,65,93,82,11,8,1,9,5,28
71,93,70,89,68,72,77,61,87,9,1,5,5,8,2
61,83,64,86,73,91,75,66,84,11,2,5,5,9,33
71,79,69,89,62,92,62,89,79,10,3,3,6,3,1
83,65,80,83,73,77,83,67,91,12,7,5,6,2,1
82,89,84,73,84,62,76,82,94,12,8,1,1,4,23
60,85,94,87,83,69,64,63,77,5,1,3,7,2,14
68,68,66,71,79,68,68,90,72,4,4,6,6,6,31
79,93,68,85,76,63,62,63,94,4,6,1,9,1,30
74,75,92,94,64,69,76,85,87,8,1,0,5,1,10
60,72,80,78,76,90,80,61,89,4,8,4,6,7,2
87,76,87,68,84,70,69,65,82,7,2,6,6,2,22
74,83,77,85,81,82,87,91,67,6,7,3,6,4,26
72,75,94,88,76,67,86,65,92,8,3,4,4,7,25
70,68,92,68,87,94,92,75,83,8,4,0,3,5,14
79,71,62,77,83,66,71,94,70,11,5,5,6,2,31
